1ci-smcs	['3091']
2ping	['15998']
3Com-nsd	['1742']
3com-amp3	['629']
3com-net-mgmt	['2391']
3com-njack-1	['5264']
3com-njack-2	['5265']
3com-tsmux	['106']
3com-webview	['2339']
3comfaxrpc	['3446']
3comnetman	['1181']
3d-nfsd	['2323']
3ds-lm	['1538']
3exmp	['5221']
3gpp-cbsp	['48049']
3l-l1	['1511']
3link	['15363']
3m-image-lm	['1550']
3par-evts	['5781']
3par-mgmt	['5782']
3par-mgmt-ssl	['5783']
3par-rcopy	['5785']
4-tieropmcli	['2934']
4-tieropmgw	['2933']
4talk	['3284']
6a44	['1027']
802-11-iapp	['3517']
914c-g	['211']
9pfs	['564']
Apple Remote Desktop (Net Assistant)	['3283']
BESApi	['3408']
CAIlic	['216']
DMExpress	['32636']
Escale (Newton Dock)	['3679']
EtherNet-IP-1	['2222']
EtherNet-IP-2	['44818']
LiebDevMgmt-A	['3029']
LiebDevMgmt-C	['3027']
LiebDevMgmt-DM	['3028']
MOS-aux	['10542']
MOS-lower	['10540']
MOS-soap	['10543']
MOS-soap-opt	['10544']
MOS-upper	['10541']
MaxumSP	['4179']
MobilitySrv	['6997']
PS-Capture-Pro	['7216']
PS-Server	['7215']
PowerAlert-nsa	['4150']
RDCenter	['4756']
SunVTS-RMI	['6483']
XSIP-network	['1354']
XmlIpcRegSvc	['9092']
a1-bs	['5603']
a1-msc	['5602']
a13-an	['3125']
a14	['3597']
a15	['3598']
a16-an-an	['4598']
a17-an-an	['4599']
a21-an-1xbs	['4597']
a25-fap-fgw	['4502']
a26-fap-fgw	['4726']
a27-ran-ran	['28119']
a3-sdunode	['5604']
a4-sdunode	['5605']
aairnet-1	['3618']
aairnet-2	['3619']
aal-lm	['1469']
aamp	['3939']
aap	['2878']
aas	['1601']
abacus-remote	['2894']
abarsd	['8402']
abatemgr	['3655']
abatjss	['3656']
abb-escp	['6316']
abb-hw	['10020']
abbaccuray	['1546']
abbs	['4885']
abcsoftware	['3996']
abcvoice-port	['3781']
abr-api	['1954']
abr-secure	['1955']
ac-cluster	['18463']
ac-tech	['2796']
acap	['674']
acas	['62']
acc-raid	['2800']
accel	['4108']
accessnetwork	['699']
accord-mgc	['1205']
accu-lmgr	['7781']
accuracer	['12007']
accuracer-dbms	['12008']
acd-pm	['8793']
ace-client	['2334']
ace-proxy	['2335']
ace-server	['2475']
ace-svr-prop	['2476']
aci	['187']
acis	['9953']
acl-manager	['4013']
acme	['9216']
acms	['3980']
acmsoda	['6969']
acnet	['6801']
acp	['599']
acp-conduit	['3823']
acp-discovery	['3822']
acp-policy	['3824']
acp-port	['2071']
acp-proto	['4046']
acplt	['7509']
acptsys	['2149']
acr-nema	['104']
acter	['4671']
actifio-c2c	['5103']
actifioreplic	['5107']
actifioudsagent	['5106']
active-net	['3322-3325']
activememory	['2859']
activesync	['1034']
actnet	['5411']
ada-cip	['2085']
adap	['6350']
adapt-sna	['1365']
adaptecmgr	['2521']
adcp	['7508']
adi-gxp-srvprt	['6769']
admind	['3279','8403']
admins-lms	['2692']
adobeserver-1	['1102']
adobeserver-2	['1103']
adobeserver-3	['3703']
adobeserver-4	['3704']
adobeserver-5	['3705']
adrep	['3954']
ads	['2550']
ads-c	['5913']
adtech-test	['3357']
adtempusclient	['3760']
advant-lm	['2295']
adws	['9389']
aed-512	['149']
aegate	['4549']
aequus	['23456']
aequus-alt	['23457']
aero	['8060']
aeroflight-ads	['1218']
aeroflight-ret	['1219']
aes-discovery	['3224']
aes-x170	['7107']
aesop	['8202']
af	['1411']
afesc-mc	['6628']
affiliate	['6579']
afore-vdp-disc	['4362']
afpovertcp	['548']
afrog	['1042']
afs	['1483']
afs3-bos	['7007']
afs3-callback	['7001']
afs3-errors	['7006']
afs3-fileserver	['7000']
afs3-kaserver	['7004']
afs3-prserver	['7002']
afs3-rmtsys	['7009']
afs3-update	['7008']
afs3-vlserver	['7003']
afs3-volser	['7005']
aftmux	['3917']
agcat	['3915']
agentsease-db	['3997']
agentview	['2331']
agentx	['705']
agpolicy	['38203']
agps-port	['3425']
agri-gateway	['3026']
agriserver	['3021']
agslb	['4149']
ah-esp-encap	['2070']
ahsp	['4333']
aiagent	['7738']
aibkup	['4071']
aic-np	['2785']
aic-oncrpc	['2786']
aicc-cmi	['3316']
aigairserver	['21221']
ailith	['17555']
aimpp-hello	['2846']
aimpp-port-req	['2847']
aipn-auth	['3833']
aipn-reg	['4113']
aironetddp	['2887']
airs	['1481']
airshot	['3975']
airsync	['2175']
aises	['2783']
aja-ntv4-disc	['4804']
aker-cdp	['2473']
alaris-disc	['3613']
alarm	['2740']
alarm-clock-c	['2668']
alarm-clock-s	['2667']
alchemy	['3234']
alesquery	['5074']
alfin	['16003']
alias	['1187']
alljoyn	['9956']
allpeers	['36001']
allstorcns	['2901']
almobile-system	['9209']
alpes	['463']
alpha-sms	['1849']
alphatech-lm	['1653']
alta-ana-lm	['1346']
altalink	['1845']
altav-remmgt	['2456']
altav-tunnel	['3265']
altbsdp	['7799']
altcp	['4165']
altovacentral	['4689']
altserviceboot	['4011']
amahi-anywhere	['4563']
amanda	['10080']
amberon	['8301']
ambit-lm	['6831']
amc	['5506']
amcs	['8766']
amdsched	['1931']
ami-control	['2640']
amicon-fpsu-ra	['30003']
amicon-fpsu-s	['30004']
amiganetfs	['2100']
aminet	['2639']
amp	['3811']
ampify	['8040']
ampl-lic	['5195']
ampl-tableproxy	['5196']
ampr-info	['1535']
ampr-inter	['1536']
ampr-rcmd	['459']
amqp	['5672']
amqps	['5671']
ams	['1037']
amt	['2268']
amt-blc-port	['2848']
amt-cnf-prot	['3054']
amt-esd-prot	['1082']
amt-redir-tcp	['16994']
amt-redir-tls	['16995']
amt-soap-http	['16992']
amt-soap-https	['16993']
amx-axbnet	['1320']
amx-icsp	['1319']
amx-rms	['3839']
amx-webadmin	['2929']
amx-weblinx	['2930']
an-pcp	['3846']
an-signaling	['4936']
and-lm	['2646']
anet	['212']
anet-b	['3338']
anet-h	['3341']
anet-l	['3339']
anet-m	['3340']
anoto-rendezv	['3715']
ans-console	['3440']
ansanotify	['116']
ansatrader	['124']
ansoft-lm-1	['1083']
ansoft-lm-2	['1084']
answersoft-lm	['1781']
ansys-lm	['1800']
ansysli	['2325']
ansyslmd	['1055']
anthony-data	['1206']
antidotemgrsvr	['2247']
any private RJE service	['77']
any private dial out service	['75']
any private file service	['59']
any private mail system	['24']
any private printer server	['35']
any private terminal access	['57']
any private terminal link	['87']
aocp	['2712']
aodv	['654']
aol	['5190']
aol-1	['5191']
